Id,name,author,relicTime,descriptoin,imageUrl,moreUrl
102,"IIIF Manifest5 hanging scrollsColor on paperheight 25.8-26.0cm　width 39.2-77.2cmHeian period,  12th centuryNara National Museum1106",null,null,"
These paintings depict the God of Heavenly Punishment (J. Tenkeisei), Sendan Kendatsuba (Skt. Cadana Gandharva), the Divine Insect (J. Shinchû), Shôki (Ch. Zhonggui), and Bishamon Ten (Skt. Vaisravana), all believed in China to be benevolent deities who expel demons of plague. This set was originally mounted as a handscroll that was known as the ""second edition of the Masuda family Hell Scroll."" After the war, the handscroll was cut into sections and the paintings mounted as hanging scrolls. The acts of each of the gods in exterminating evil are briefly explained in the texts accompanying the illustrations.The God of Heavenly Punishment-literally ""the star [that metes out] heavenly punishment""-is a demon from the Yin-yang tradition. In Japan, he was incorporated into Esoteric Buddhist prayers. In this painting, he is shown consuming the Ox-headed Deity (J. Gozu Tennô), the pestilence god worshipped at Gion Shrine in Kyoto.Sendan Kendatsuba was originally an Indian god of music. Later, he came to be classified as being one among the Eight Classes of Protectors of the Buddhist Law (J. hachibushû) and is described in the Lotus Sutra as one of the thirty-three manifestations of the bodhisattva Avalokitesvara (J. Kannon). He is also believed to protect youths from the dangers of the fifteen malevolent deities. Here, his form closely resembles that found in the Esoteric Buddhist Mandala of Youths (J. Dôji mandara).""The Divine Insect"" is a euphemism for the silkworm. Its miracles as a benevolent deity were known from very early on. In this painting, it takes the form of a moth.A Buddhist tale (J. setsuwa) relates that Shôki, a demon-quelling deity from China, protected the Tang emperor Xuanzong (685-762) from malevolent demons. He is portrayed with large eyes and a thick beard and is wearing a black robe, hat, and tall boots. Here, he is shown strangling a small demon.Bishamon Ten is portrayed as a benevolent deity who protects devotees of the Lotus Sutra. Examples of Bishamon Ten holding a bow, as he is painted here, are found in Chinese works of the Tang (618-907) and Song (960-1279) dynasties.This scroll set, which brings together a number of unusual images, has had strong connections to the Southern Capital of Nara and to the Hell Transformation Screens (J. Jigokuhen gobyôbu), which were used in year-end repentance ceremonies, held at the Imperial Palace up until the Heian period, in which the names of the buddhas were recited (J. butsumyôe). Like other paintings of the Six Paths (J. Rokudo-e) such as the Hell Scroll, it is conjectured to have been made during the time of Emperor Goshirakawa (1127-92, r. 1155-58) in the latter part of the Heian period (794-1185) and kept in the treasure house of Rengeô-in Temple (Sanjûsangendô). One view holds that the calligraphy for the Extermination of Evil was brushed by the same hand as that of the Hell Scroll (J. Jigoku zôshi) in the Tokyo National Museum and the Demon of Punishment (J. Kandô no oni) in the Fukuoka City Museum of Art.
",https://emuseum.nich.go.jp//img/content/100247001001/1/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=100247&content_part_id=0&content_pict_id=0
103,"IIIF Manifest1 hanging scrollColor on silkheight 169.0cm　width 90.0cmHeian period, 12th centuryNara National Museum1176(絵217)",null,null,"
This painting depicts a Jûichimen Kannon（Eleven-Headed Kannon, Skt. Ekadasamukha) facing towards the viewer's left. The deity's right hand, held at waist level with a rosary around the wrist, is in the hand gesture (Skt. mudra) symbolizing the fulfilling of desires (J. yogan'in); the left holds a vase containing a red lotus flower. The eleven heads atop the image include three with faces like those of bodhisattvas, three with angry expressions, three with fangs protruding upwards, one laughing face, and on the very top, the face of a buddha.The iconography is based on the form of the Jûicimen Kannon discussed in the Heart Sutra of the Divine Incantation of the Eleven Heads (J. Jûichimen shinju shingyô), translated into Chinese by the priest Xuanzang (J. Genjô, 602-664) during the Tang dynasty (618-907). Unlike esoteric iconic depictions, in which the image faces directly forward, Kannon here is turned slightly diagonally suggesting the artist's attempt to create a more naturalistic space. Kannon is not portrayed in formal meditation posture but with his right foot relaxed. This stylized pose, as well as the ornate details of the large floral canopy and the aureole that resembles openwork carving, make this painted image appear to be a rendition of an actual Buddhist sculpture.The body of the image is painted in a light pink hue with a dark cinnabar outline creating a soft, rounded effect. Delicate cut gold leaf (J. kirikane), overlaid on the ground patterns and the main motifs, adorn the intricate layers of his robe. Decorating the dais and canopy are designs created in cut gold leaf and gradations of silver arranged like bamboo leaves (J. sasa rindô). This motif of bamboo leaves and that of the chrysanthemum rings (J. kikka danmon) in cut gold leaf are thought to have been introduced from Song dynasty (960-1279) China. Painted silver, with the lotus stem visible within, the vase that Kannon holds resembles Song glassware. Sumptuous and splendid, these elements typify the gorgeous forms characteristic of Buddhist painting of the Heian period (794-1185).This work was passed down until modern times in Hokki-ji Temple. Located nearby is Hôryû-ji Temple, which owns fragments of Heian period Buddhist paintings that display a similar pattern of strong gradation of pigments. This raises the possibility that the Jûicimen Kannon took its inspiration from classical paintings like those on the walls of Hôryû-ji's Golden Hall.
",https://emuseum.nich.go.jp//img/content/100248001001/1/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=100248&content_part_id=0&content_pict_id=0
104,IIIF Manifest紙本著色地獄草紙1 scrollColor on silk26.9x249.3Heian period/12th centuryTokyo National MuseumA-10942,null,null,"
The Buddhist concept of the Six Paths of Transmigration (J. rokudô) became popular at the end of the Heian period (794-1185) as the Heian court began to lose its power and social anxiety increased. The hells are one of the six realms to which a person is consigned after death as a result of his or her deeds during this life. The Hell Scroll (J. Jigoku zôshi) is an illustrated handscroll depicting the suffering of sinners who have fallen into this realm.This scroll, which depicts four subsidiary hells within one of the Eight Greater Hells, was kept in the storehouse of Anjû-in Temple in Okayama Prefecture. It depicts murderers, thieves, adulterers, and so forth, who have fallen into the Hell of Cloud, Fire, and Mist. The naked men and women are in agony as they burn in an enormous fire. The writhing flames are vividly and effectively rendered with concise lines and black and vermilion tones. The painting probably caused its viewers to shudder with fear and foreboding, encouraging them to embrace the desire to be born into the Pure Land.The text, a mixture of Chinese characters (J. kanji) and Japanese phonetic script (J. kana), is based on Chinese sutras written in Japanese style. It is thought that this scroll, together with the illustrated handscrolls of the Hungry Ghosts (J. Gaki zôshi) and the Extermination of Evil (J. Hekijae), is part of the Paintings of the Six Paths (J. Rokudôe) stored in the treasure house of Rengeô-in (commonly known as Sanjûsangendô) Temple, which was built by cloistered emperor Goshirakawa (1127-1192, r. 1155-1158).
",https://emuseum.nich.go.jp//img/content/100155001000/8/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=100155&content_part_id=0&content_pict_id=0
105,"IIIF Manifest絹本著色一遍上人絵伝By Hougen Enni
						
						1 scrollColor on silk37.8x802.0Kamakura period/Shouan 1(1299)Tokyo National MuseumA-10944",null,null,"
This handscroll, also known as the Painting of the Holy Man Ippen (J. Ippen hijiri-e), depicts the life of Ippen (1239-1289), the founder of the Ji sect. The text was edited by Ippen's high-ranking disciple Shôkai, and the handscroll was painted by the monk En'i, who was given the ecclesiastical rank Hôgen (""Eye of the Dharma"").At age thirteen, Ippen left home, took orders, and traveled around Japan as a mendicant. He dedicated his life to spreading Pure Land devotional practices, notably the recitation of the name of the Buddha Amida (J. nenbutsu), and eventually established the Ji sect.This illustrated handscroll uses a silk ground-quite rare among such works-upon which are drawn, along with the deeds of Ippen, scenes of various places throughout Japan. While the depiction of the human figures is small, the temples, shrines, and landscape in the background are comparatively large. This contrast is characteristic of paintings of famous places (J. meisho-e), which first appeared in screen form in the Heian period (794-1185). While the scrolls display fundamental techniques of Japanese-style painting (J. yamato-e), one can also note influences of Chinese paintings of the Song dynasty (960-1279) in the composition of the landscape and the depiction of trees and rocks.The seventh scroll, owned by the Tokyo National Museum, depicts Ippen's various activities in Kôan 7 (1284). These include the recitation of Amida's name and the distribution of talismanic slips (J. fuda), as he traveled to Seki-dera Temple in Otsu, Shiga Prefecture, to the practice halls of Shijô Avenue and to the marketplace in Kyoto.In the latter part of the Edo period (1615-1868), the original twelve handscrolls of this set in Kankikô-ji Temple in Kyoto were separated. Scroll seven was at one time owned by the collector Hara Sankei (Tomitarô, 1868-1939). After the war, it was placed in the collection of the Tokyo National Museum.
",https://emuseum.nich.go.jp//img/content/100156002000/12/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=100156&content_part_id=0&content_pict_id=0
106,IIIF ManifestHeight 89.4cm  Width 168.5cmKyoto National MuseumA甲228,null,null,"
While there is no signature or seal on the painting, the overall brush technique, composition, and the style of the calligraphy identifying the renowned places depicted in the painting have led the work to be attributed to the famous ink painter, Sesshû Tôyô (1420-1506?).In the center of the work are the distinctive white sandbar and pine trees of Amanohashidate and the buildings of Chion-ji Temple, located in the north of  Kyoto Prefecture. Beyond Amanohashidate is the Sea of Aso, on whose far shore stands the town of Fuchû with its temples and shrines crowded together. Towering over this expansive scenery is a massive mountain, home to Nariai-ji Temple and its complex. In the foreground, beneath Amanohashidate, is Miyazu Bay. Running along the bottom of the composition are the mountains of the lower tip of Kurita Peninsula.While it is clear that the painting was based on direct observation, it is not a realistic rendition of the landscape. The high vantage point from which the scene was depicted does not actually exist. The mountain on which Nariai-ji Temple is located has been rendered as a soaring peak, while the shape of Fuchû has been attenuated so that it stretches out horizontally along the shore. In fact, recent scholarship suggests that the work reflects Sesshû's method of rearranging the elements of an actual landscape according to the compositional rules he had absorbed from his study of Chinese landscape painting. Clearly, this bird's-eye view was influenced by Chinese depictions of West Lake (near Hangzhou in Zhejiang Province) and other famous scenic spots.The brushwork is extremely rough; indeed, the painting looks as if it had been done in a single, rushed sitting. It is this very quality, however, which gives the work its unique power and dynamism. Brushed onto a patchwork of twenty-one small pieces of different sized paper, irregularly pasted together and bearing traces of reworking, the painting was probably intended as a preparatory sketch rather than as a finished product.
",https://emuseum.nich.go.jp//img/content/100950001001/1/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=100950&content_part_id=0&content_pict_id=0
107,"IIIF ManifestBy Kanō Masanobu												Hanging scrollInk and light color on paper84.7×33.2 cmMuromachi period, 15th centuryKyushu National MuseumA35",null,null,"
A willow tree stands on the shore of an expansive waterfront, swaying in the gentle breeze. Beneath it are two figures in a boat drifting among lotuses. The figure on the left is possibly Zhou Maoshu (also known as Zhou Dunyi; 1017–73), a Chinese Confucian scholar of the Northern Song dynasty (960–1279) and founder of the neo-Confucian school of thought. Zhou is well known for his appreciation for the lotus, having composed “On Loving Lotuses,” a text extolling it as the noblest of flowers for how it grows in the swamp but remains clean and untainted. Japanese intellectuals of the Muromachi period (14th–16th century), who had developed an appreciation for Chinese culture from a familiarity with its literary traditions, interpreted this work as a depiction of Zhou’s fascination with lotuses, a narrative with which they were familiar.We know from the seal at the bottom-right corner that this is a work by Kanō Masanobu (1434–1530). Masanobu was the founder of the Kanō school of painting, a lineage of painters that had dominated the industry until the late Edo period (19th century). He was also an official painter for the Ashikaga shogunate, having served the eighth shogun Yoshimasa (1436–90).The willow tree in this work appears almost identical in design to one in a copy of Ma Yuan’s Herons beneath a Willow (currently owned by the Tokyo University of the Arts), a Chinese court painter of the Southern Song dynasty. It is thus likely that Masanobu had studied Southern Song Chinese court paintings from the Ashikaga shogunal family’s collection, and applied what he had learned in the creation of this work. Many ink paintings in the Muromachi period mimicked the brushwork of certain Chinese painters; this work is an example of one that takes after Ma Yuan’s style. As such, it is important not only as a work of art, but as a piece documenting the way Muromachi-period Japanese paintings were typically created with imitative brushwork.This painting is a masterpiece that represents ink paintings of the Higashiyama cultural circle that had flourished in Kyoto during the Muromachi period, and is also the only piece by Masanobu to have been designated a National Treasure. It was once owned by the feudal Date clan.
",https://emuseum.nich.go.jp//img/content/100005001002/2/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=100005&content_part_id=0&content_pict_id=0
108,"IIIF Manifest紙本墨画淡彩竹斎読書図Purportedly by Shūbun. Preface by Jikuun Touren, and poems by Kousei Ryuha and other four monks												1 hanging scrolllight color on paper134.8x33.3Muromachi period/15th centuryTokyo National MuseumA-1164",null,null,"
This poetry-painting scroll (J. shigajiku) comprises a landscape painting owned by Kô, a monk of the Kyoto temple Nanzen-ji in the first half of the fifteenth century, and poems and a preface added by then-renowned Zen monks. Shûbun (fl. 1423-1460), the artist to whom this painting is attributed, was at this time a Zen monk at Shôkoku-ji Temple and served the Ashikaga shogunate as a painter. Although not a single work can be firmly ascribed to Shûbun and the seal at the bottom right that reads ""Ekkei Shûbun"" is dubious, this painting, which has been passed down in the Myôchi-in Temple in Kyoto, is one of the few that is appropriate for consideration as Shûbun's work.The composition and motifs reflect the style of such Southern-Song Chinese painters as Xia Gui (active first half of thirteenth century) and Ma Yuan (active c. 1190-1230), as well as works of the Ma-Xia School that continued that tradition in the subsequent Yuan (c. 1280-1368) and Ming (1368-c. 1644) periods. The composition follows an unbroken diagonal: in the far distance at the upper left, across a body of water, are depicted mist-enshrouded mountains; in the foreground at the lower right, surrounded by a bamboo grove, is a thatched hut within which sits a lone figure reading a book; at the bottom left, two people cross a bridge towards the hut. Although a small picture, the painting has a vast sense of space and is a representative masterpiece of the ""study-retreat picture"" (J. shosaizu), made in this period, for Zen monks who were drawn to the idea of hermetic seclusion.The preface was written by Jikuun Tôren (1383-1471), and the poems were added by Kôsei Ryûha (1375-1446), Shinden Seiha (1375-1447), Tôshô Shûgen (1391-1462), Zuigan Ryûsei (1384-1460), and Kisei Reigen (1403-1488).The preface is dated to Bun'an 4 (1447), however, it appears that the picture was painted considerably earlier. Although the preface mentions the person who commissioned the scroll, it makes no mention at all of the painter, as was typical of the time. 
",https://emuseum.nich.go.jp//img/content/100145001001/1/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=100145&content_part_id=0&content_pict_id=0
109,"IIIF Manifest紙本墨画松林図By Hasegawa Touhaku												A pair of six-fold screensInk on paper156.8x356.0eachAzuchi-Momoyama period/16th centuryTokyo National MuseumA-10471",null,null,"
Along with Kanô Eitoku (1543-1590) and Kaihô Yûshô (1533-1615), Hasegawa Tôhaku (1539-1610) was an active participant in the painting circles of the Momoyama period (1573-1615), and in his art he diligently explored the expressive range of ink and the effects of light. This pair of screens is Tôhaku's representative work, a masterpiece of early modern ink painting.A dense mist fills the entire picture; the pine grove of the left screen recedes deeply into the snow-covered mountains at the extreme right, while two groups of trees on the right screen incline towards each other and suggest the undulations of the ground. The brushwork used to depict the pine needles and background is rough. Walking through the thick mist, black shadows appear; you are surrounded by pine trees and can just detect the tops of mountains. The quiet scene, a momentary experience captured for eternity, evokes the rustic and refined realm of wabi (""elegant simplicity"").There are many enigmas about this pair of screens, which indicate that this might have been a preparatory work: the paper joints are irregular; the measurements of the width of the paper in the right and left screens are different; there is a divergence in the ground line; the cropping of the pine tree at the far right is unusual; and the seals for ""Hasegawa"" and ""Tôhaku"" at the outside edge of each screen are different from the standard seals for this artist. The theme of the painting draws on such subjects as Hamamatsu from the Japanese-style (J. yamato-e) landscape tradition. On the other hand, it is also a remarkable example of how the naturalistic ideas and ink-painting method of the Chinese painter-monk Mu Qi (active c. late thirteenth century) of the Southern Song dynasty (c. 1127-1279), much favored by Tôhaku, were embraced in Japan.
",https://emuseum.nich.go.jp//img/content/100151001003/3/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=100151&content_part_id=0&content_pict_id=0
110,IIIF ManifestHeight: 119.0cm Width: 48.3cm   Kyoto National MuseumA甲261,null,null,"
While this subject has several Chinese precedents in Sung and Yuan colored paintings, Sotatsu painted the two grebes and two lotus flowers with only black ink, giving the painting a clean, simple feeling. Nevertheless, the artist exquisitely expresses the contrast between the blooming white lotus and the ripening lotus fruit. Contrast is also created between the two birds, one of which swims ahead with a half-open, upturned bill, as if in search of new bait, while the other quietly floats on.Though this painting bears no signature, only a red ""Inen"" seal in the lower-left corner, it represents the technical perfection of Sotatsu's ink painting.
",https://emuseum.nich.go.jp//img/content/100959001001/1/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=100959&content_part_id=0&content_pict_id=0
111,"IIIF Manifest紙本金地著色楼閣山水図By Ike no Taiga												A pair of six-fold screensInk and color on paper covered with gold leaves168.7x745.2eachEdo period/18th centuryTokyo National MuseumA-10430",null,null,"
These famous works were painted by the literati artist Ike no Taiga (1723-1776) during his early to mid-forties. Influenced by literati painters Yanagisawa Kien (1704-1758) and Gion Nankai (1677-1751), Taiga taught himself Chinese Southern School painting. Together with Yosa Buson, he is considered one of Japan's greatest literati artists. He also achieved renown as a calligrapher.Taiga's painting traces its origins to two Song-dynasty (960-1279) literary compositions, the Record of the Yueyang Pavilion by Fan Zhongyan (eleventh century) and Record of the Zuiweng Pavilion by Ouyang Xiu (1007-1072). The composition is based on two designs from an early Qing (c. 1644-1912) book entitled Album in Honor of Zhang Huanzhen's 80th Birthday, painted by Shao Zhenxian and others. The right screen centers on the view of the celebrated multi-storied Yueyang Pavilion looking out over Lake Dongting, which flows into the Yangzi River in the distance. The left screen depicts the single-storied Zuiweng Arbor at Mount Langye. In both pavilions literati are holding their beloved ""elegant gatherings.""The screens are unified by the sweep of gold leaf spreading across both picture surfaces. Taiga used malachite green, azurite blue, vermilion, and other rich mineral pigments, giving rise to a unique manner of painting. These screens came from the collection of the Hitotsubashi branch of the Tokugawa family.
",https://emuseum.nich.go.jp//img/content/100149001004/4/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=100149&content_part_id=0&content_pict_id=0
112,"IIIF Manifest絹本著色紅白芙蓉図By Li Di												2 hanging scrollsColor on silk25.2x25.5eachSouthern Song dynasty/Keigen(Qingyuan) 3(1197)Tokyo National MuseumTA-137",null,null,"
Li Di (active c. 1163-1197) was a court painter in the Imperial Painting Academy of the Chinese Southern Song dynasty (c. 1127-1279). Evidence that Li Di was active as a painter during the latter half of the twelfth century is provided by the dates he wrote on some of his works and also from the career of his son, Li Demao (active late twelfth-early thirteenth centuries), who, not surprisingly, also became a painter in the Imperial Painting Academy. Li Di specialized in painting flowers, birds, and animals, and these paintings of cotton roses are the masterpiece among his extant works. From the inscriptions on the paintings we learn that they were executed in what corresponds to the third year of the Qingyuan reign in 1197.These cotton roses are thought to be ""drunk cotton roses"" (J. suifuyô) that first bloom white and then gradually turn crimson. Although the flowers are painted realistically, the delicate lines and the subtle gradation of color endow them with a sense of poetry. The surrounding blank space also conveys feelings of naturalness and calm. These two hanging scrolls were thought originally to have been independent album leaves that were remounted as a pair of scroll paintings (J. tsuifuku) following the growth in appreciation of Chinese paintings born of Japanese tea-ceremony aesthetics.
",https://emuseum.nich.go.jp//img/content/100216001001/1/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=100216&content_part_id=0&content_pict_id=0
113,"IIIF Manifest絹本墨画淡彩雪景山水図By Liang Kai												3 hanging scrollsInk and light color on paper Southern Song dynastyTokyo National MuseumTA-141、617、642",null,null,"
Ryokai was a court painter of the Southern Song Dynasty and excelled in figure painting, sansuiga (landscape painting), paintings on Taoist and Buddhist themes and paintings of kishin (gods who dispel evil). Although he learned from Kashiko, a court painter in the early Southern Song Dynasty, it is said that Ryokai's style was carefree and his technique surpassed that of his teacher. Every person at the court admired his exquisite brushwork. These Shussanshakazu and Sekkeisansuizu are the best portrait and sansuiga that demonstrate Ryokai's excellent brushwork.The Shussanshakazu depicts Shakamuni coming out of the mountains when he realized that a long practice of asceticism was not the way to satori (enlightenment). It is clear from the signature and seal of ""御前図面 (picture drawn in front of the Emperor) by Ryokai"" on the painting that this was drawn at Court. The fine and realistic expression on the face of Shakamuni goes beyond a simple likeness and seems to communicate his inner spirit. This picture demonstrates the quintessence of exquisite brushwork.   The Sekkeisansuizu depicts a person on a donkey traveling in severe winter against a backdrop of snow-capped mountains. However, different from the sansuiga style of Baen and Kakei in the Southern Song Dynasty, where only part of nature is depicted by leaving a blank space, Ryokai perfectly depicts the greatness and depth of nature. Ryokai's exquisite brushwork extends over everything on the picture, such as the intricate representation of a person on a donkey as a small being against the grand snow-capped mountains and the representation of wild geese flying between the mountains, demonstrating his ability as a sansui painter.  The Sekkeisansuizu authenticated as a Ryokai was drawn by a painter of the Ryokai school during the period from the Southern Song period to the Yuan period. It seems that the picture was originally larger, but cut later to make a triad.Since the seal of Ashikaga Yoshimitsu, ""Tenzan,"" is affixed to the three paintings of the Shussanshakazu, Sekkeisansuizu and Sekkeisansuizu authenticated as works by Ryokai, it seems that after being brought into Japan, they were made into a triad during the period ruled by Yoshimitsu. The triad was recorded in the Gyobutsu On'e Mokuroku, a list of assets of the Ashikaga Shogunate family, as ""Shussanshaka, Wakisansui, Ryokai"" and have been prized as Chinese paintings of the highest quality in Higashiyama Gomotsu (imperial collection of art objects, books, etc., in the Muromachi period). Later, the ownership of the triad shifted from the Ashikaga family to the Sakai family in Wakasa. Then the triad was separated and the Mitsui family owned the Sekkeisansuizu by Ryokai and Honganji Temple owned the Shussanshakazu and Sekkeisansuizu authenticated as works by Ryokai. Although a long time has passed since the Tokyo National Museum obtained the Sekkeisansuizu from the Mitsui family in 1948, the Museum acquired the Shussanshakazu in 1997 and the Sekkeisansuizu authenticated as a Ryokai in 2004. After so many years, they have finally been put together as a triad again. Since these three paintings – which are the best among Higashiyama Gomotsu – are extremely valuable, they used to be designated separately as national treasures and important cultural properties. In 2007, however, they were integrated and together designated as one national treasure.
",https://emuseum.nich.go.jp//img/content/100217001001/1/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=100217&content_part_id=0&content_pict_id=0
114,IIIF ManifestKyoto National MuseumB甲671,null,null,"
This eight-volume commentary, Jômyô genron in Japanese, presents the essential points of the Vimalakirti Nirdesa Sutra (J. Yuimakyô). The original text was written by Jicang of Jiaxiang Temple (J. Kajô Daishi Kichizô, 549-623), the priest who established the Sanlun (J. Sanron) School of Buddhism during the Sui dynasty (581-619) in China. Jômyô is a translation of the Sanskrit name Vimalakirti (spotless fame), which can be transliterated into Japanese as Yuimakitsu or simply Yuima. The Vimalakirti Sutra, which relates the story of the enlightened layman Vimalakirti, is a favorite text among lay Buddhists and has stimulated learned commentary in both China and Japan.The fourth volume of this set has a colophon that reads: Recorded on the fifth day of the twelfth month of 706 (Keiun 3). The end of the sixth volume is dated the eighth day of the twelfth month of the same year. These scrolls are the oldest extant text-Buddhist or secular-using the Japanese dating system; the year 706 falls within the Asuka period (600-710) of Japanese history. However, volume 1 was supplemented in the Heian period (794-1185), and additions were made to volumes 2 and 5 in the Kamakura period (1185-1333). The prefaces of three of the volumes (all but numbers 7 and 8) were also copied later. The paper used for this manuscript is a high-quality, thin, white hemp paper believed to have been imported from China. The calligraphy is in the manner of the Six Dynasties period (3rd to 6th centuries), with each line containing from about twenty to forty characters. Most examples of this kind of sutra commentary (primarily works like annotations and commentaries composed in China) were written without concern for maintaining the standard of seventeen characters per line found in sutra copies. At the top and bottom of the sections where the individual sheets of paper are joined together, pinholes and small cuts marking the guidelines can be found. White marks indicating the proper reading of the Chinese characters in Japanese also appear. These notations, probably added in the early Heian period, are a valuable early resource for the study of the Japanese language. The manuscript was originally in the possession of Tôdai-ji Temple. Later, it passed into the hands of the scholar Kanda Kiichirô (1897-1984), after which it was donated to the Japanese government. 
",https://emuseum.nich.go.jp//img/content/101075001000/1/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=101075&content_part_id=0&content_pict_id=0
115,IIIF ManifestHeight 25.5cm  Width 246cm  Nara period/8th centuryKyoto National MuseumB甲62,null,null,"
This fragmentary volume of Sutra of the Incantation of the One Thousand Armed, One Thousand Eyed Avalokitesvara Bodhisattva (J., Senju Sengen Daranikyô) is the only extant portion of the one thousand scrolls of this sutra copied by the priest Genbô (d. 746), starting on the fifteenth day of the seventh month of 741 (Tenpyô 13). Genbô dedicated these scrolls wishing for the long reign and long life of Emperor Shômu (701-756, r. 724-749), as well as the well being of the civil and military officials and people of the kingdom. Although this Chinese Buddhist text is missing its first section, the annotations in red and black ink, serving as grammatical markers and reading aids, are important in the study of the early Japanese language.
",https://emuseum.nich.go.jp//img/content/101016001001/1/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=101016&content_part_id=0&content_pict_id=0
116,"IIIF Manifest																																(Some of the works of the Moshiogusa (Brinish Seaweed) Album of Exemplary Calligraphy									)																																						Height 31.6cm  Width 11.2cm  Kyoto National Museum",null,null,"
A tekagami, or album of exemplary calligraphy, is a collection of excerpts from old scrolls or books of sutras, poems and letters.  The selection of calligraphers in a tekagami, its types of calligraphy and its order tell us about the changing tastes in classical Japanese-style calligraphy over the years.  Moshigusa, an album of 242 detached segments ranging from the Nara to the Muromachi Periods, was handed down from generation to generation as a reference register a family that remained the central, calligraphy authority throughout the Edo period. Among the segments is the ""Muromachi-gire,"" one of only two surviving fragments from the Hitomaroshu, which is part of the Anthologies of Thirty-Six Poets, formerly owned by the Nishi-Honganji temple.  The ""Okadera-gire"" is another rare, detached segment from Minamoto Shitagoshu of the same set.  Both are excellent specimens of kana script in the early-12th Century.
",https://emuseum.nich.go.jp//img/content/101051018001/1/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=101051&content_part_id=18&content_pict_id=0
117,IIIF ManifestNara National Research Institute for Cultural Properties6ABOBH80000008,null,null,"
　 Japanese archaeologists and historiographers of premodern Japan classify all wooden objects with text—written by government officials in India ink—as “wooden documents” (mokkan). These administrative texts can be anything from shipping tags to wooden plates with scribbles. The seemingly trivial nature of these documents provides a rich source of unedited and raw information. While a single wooden document rarely contains anything revelatory, the sum of information gathered from thousands of texts provides a remarkably detailed picture of the inner workings of government. These wooden documents are particularly important primary sources of information, especially when compared with paper-based historical documents which are often copies made decades or even centuries after the originals. 　 The wooden documents bundled together here as a single National Treasure bear witness to both the workings of the central government during the eighth century and its officials’ struggles coming to terms with expressing their language in a new, foreign writing system. The characters used on the documents are an eclectic mix of various calligraphic styles chronicling the confusion of officials trying to master Chinese characters. 
",https://emuseum.nich.go.jp//img/content/101305001978/978/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=101305&content_part_id=0&content_pict_id=0
118,"IIIF Manifest賢愚経残巻（大聖武）Purportedly by Emperor Shōmu
						
						1 scrollInk on paper25.7x696.9Nara period/8th centuryTokyo National MuseumB-2402",null,null,"
The Sutra of the Wise and Foolish (Skt. Damamuka[nidana] Sutra; J. Kengukyô), also known as the Sutra of the Karma of the Wise and Foolish (J. Kengu innen kyô), is a thirteen-volume sutra consisting of sixty-nine metaphorical narratives that describe the karmic pasts of wise and foolish people. This handscroll includes a total of 262 lines, consisting of Chapter 8 (""Vajra, the Daughter of King Prasenajit""), Chapter 9 (""Golden Wealth""), Chapter 10 (""Heavenly Flowers""), Chapter 11 (""Heavenly Jewels""), and the final lines of Chapter 48 (""Upagupta""). In view of the shorter length of the first sheet of paper and other factors, this work was probably copied from a sixteen- or seventeen-volume version of the sutra, rather than from the usual thirteen-volume version. The handscroll is called the ""Yamato Edition"" (J. Yamato gire), because it was kept at Tôdai-ji Temple located in the Yamato region (present-day Nara Prefecture). Since its calligraphy has been attributed to Emperor Shômu (r. 724-749), it is also known by the name of ""Great Shômu""(J. Ôjômu).The paper is dabishi, or ""cremation paper,"" a type of paper said to be made from the cremated ashes of Sakyamuni. Dabishi is a thick, high-grade paper that contains powder made from fragrant wood and is coated with a whitewash made from ground, roasted seashells. Ruled lines are brushed onto the paper with diluted ink.Although sutras are usually copied with seventeen characters per line, this transcription of Kengukyô uses eleven to fourteen characters per line. The voluminous brush strokes achieved by writing characters of larger size are orderly yet dynamic. Although this handscroll is generally thought to have been written in China and then brought to Japan, some scholars have suggested that it was transcribed in Japan by a Chinese calligrapher. 
",https://emuseum.nich.go.jp//img/content/100164001000/1/thumbnail.jpeg,https://emuseum.nich.go.jp//detail?langId=en&webView=&content_base_id=100164&content_part_id=0&content_pict_id=0
