index,Title,Author,Description,relicTime,moreURL,imageURL
62,Pendant; figures (Pale green and brown nephrite carving),China,"Pale green and brown nephrite pendant/amulet carved in the shape of a cicada, bulky, sculpted body and convex eyes, body decorated with engraved lines depicting mouth, wings, belly etc. There is a perforation at the mouth, suggesting the object is a pendant/amulet rather than a mouth jade [see Notes].",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS13190,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.2896.JPG
63,Disc (Dark green nephrite with carved decoration),China,"Dark green nephrite disc in the shape of Bi, decorated with incised Cloud pattern/Wocan pattern (Sleeping Silk Worm pattern) on carved hexagonal pattern background on both sides.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9560,"https://iiif.durham.ac.uk/iiif/trifle/34/1b/f9/341bf9069f4b271d6784506e99219d27/e408987528bdb8daf36c7df260d83abd.jp2/full/!400,400/0/default.jpg"
64,amulets; Mouth Jade (Buff white and grey nephrite carving),China,"Buff white and grey nephrite carving of a cicada, simplistic style wiht straight lines and three notches depiecting the body and the eyes. Mouth jade in cicada form made in the Han dynasty (see [Notes]).",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS7935,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.1445.JPG
65,hairpins (Copper alloy with carved jade terminal),China,hair pin or shroud pin with a copper alloy shank and a flat jade bird terminal.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9085,"https://iiif.durham.ac.uk/iiif/trifle/8b/dd/44/8bdd44ef150999472f01fa26dbafe6c9/f93cbdb44415bee264277de3ee15c6b6.jp2/full/!400,400/0/default.jpg"
66,Pendant; amulets (Dark grey and pale grey nephrite carving),China,"Grey nephrite pendant/amulet carved in the shape of a cicada, with carved thin lines depicting body parts, including wings, eyes etc. The area around eyes and mouth is pale grey while the other parts of the body is dark grey. There is a drilled hole at the mouth of the cicada, suggesting that the object is not used as a mouth jade but a pendant or amulet.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8255,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.2011.JPG
67,"pommels (Green jade with brown markings, carved)",China,"Green jade sword pommel with brown markings; convex centre decorated with incised Whorl Circle pattern; back, circular notch around the centre.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9272,"https://iiif.durham.ac.uk/iiif/trifle/8a/64/2c/8a642cb845fa86420c45473e08622afa/5cd6e1661182462d3bc62540ddf27c64.jp2/full/!400,400/0/default.jpg"
68,figures (Buff white nephrite carving with grey markings),China,"Buff white nephrite amulet carved in the shape of an empty tortoise shell with deep grey markings, with straight lines at the bottom depicting pattern of the tortoise shell. Undecorated at the surface of the top. Probably made in imitation of a divination tortoise shell [see Iconography].",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8837,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.3035.JPG
69,"Scabbard Chape (Buff jade with brown markings, incised.)",China,"Jade scabbard chape, approximately trapezoidal in shape with two slightly curved sides, decorated with carved geometric cloud patterns enclosed with linear borders on both sides; there are three holes on the narrow end, to be mount for the bottom of sword scabbard.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9567,"https://iiif.durham.ac.uk/iiif/trifle/8c/51/39/8c5139a9db6bd8b5287daeadfbe9c7b3/853901ff3cacdeb69f0160782e234844.jp2/full/!400,400/0/default.jpg"
70,amulets (Buff white and brown nephrite carving),China,"Buff white and brown hardstone amulet carved in the shape of an empty tortoise shell, with lines depiecting patterns on the shell. Probably made in imitation of a divination tortoise shell [see Iconography].",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8982,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.3227.JPG
71,Knee Protector (Grey nephrite carving with marblised markings.),China,"Two pieces of grey nephrite carving in the shape of a pair of knee protector, with recessed parts and incised lines to imiate the shape of the knee; used for burial purpose as knee protectors.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8555,"https://iiif.durham.ac.uk/iiif/trifle/cb/e8/16/cbe8161006b7b898cb21f55cf3c74f6f/a5d309d0a5230d40bbef401e9b0a96ed.jp2/full/!400,400/0/default.jpg"
72,Plaque; Panel (Buff green nephrite with buff marking.),China,"Flat buff green nephrite plaque in the fomr of a Gui, which is a ceremonial jade, carved in relief on both sides with the Sleeping Silkworm pattern.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9612,"https://iiif.durham.ac.uk/iiif/trifle/1a/9e/d6/1a9ed6e8438b3f5f62b360919cba3856/44e497218be599e3bc862d5bada15f11.jp2/full/!400,400/0/default.jpg"
73,Hand Protector (Brown and yellow nephrite with carving.),China,"Pair of brown nephrite carving in the shape of a pair of hands, with incised lines depicting palm prints and nails; probably used for burial purpose. The object is made as a replica of the human body rather than a stylised protective plate.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8553,"https://iiif.durham.ac.uk/iiif/trifle/58/5d/ee/585dee9060dfa89b30e6952484291123/c0ccc6e3e623b52523cc43f47dc30f0c.jp2/full/!400,400/0/default.jpg"
74,"Mouth Protector (Brown hardstone with olive markings, carved.)",China,Piece of jade in the shape of mouth and mustache of a man; carved with striation and depiction of mouth; used for burial purpose as part of a jade mask.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS8559,"https://iiif.durham.ac.uk/iiif/trifle/50/e3/1c/50e31c2af167c615e0467a774935d1c5/2fffa5f7ea3533b5975be2a5ca66e0b0.jp2/full/!400,400/0/default.jpg"
75,Ear Protector (Brown-green nephrite carving with low relief decoration),China,"Brown-green nephrite carving in oval shape, one side carved in low relief with a Chi dragon design, the other side a tube shape projection; used as an ear plug for burial purpose.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS13128,"https://iiif.durham.ac.uk/iiif/trifle/25/19/82/2519825547699f9c1375ac8a08ced4ea/e4fc089694c2abbbe973aea311143749.jp2/full/!400,400/0/default.jpg"
76,Mouth Jade; figures (Highly calcified pale green nephrite carving),China,"Highly calcified pale green nephrite mouth jade carved in the shape of a cicada in simplistic style, only the shape of the body, eyes and wings are outlined. The body bears almost no decoration except for a straight line across the head. Mouth pointed. Typical Han dynasty style (see [Notes]).",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9433,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.3896.JPG
77,"Eye Protector (Green jade with brown markings, carved.)",China,"Two pieces of jade in the shape of human eyes, green with brown markings; decorated with incised lines depicting the eye; used for burial purpose as eye protector, or part of a jade mask.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS13133,"https://iiif.durham.ac.uk/iiif/trifle/37/5c/b1/375cb1cbec5e91401d758f02c9dd4964/6a4388362f1c31ec74565562fc42afb3.jp2/full/!400,400/0/default.jpg"
78,Eye Protector (Pale green nephrite carving with incision),China,"Pair of pale green nephrite carving of Eye Jade, incised with thin lines depicting the pupil; overall oval shape with one pointed end.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS13131,"https://iiif.durham.ac.uk/iiif/trifle/59/e6/8b/59e68b0681400a23386a10316d5ed748/dfee9e86ff17bf81ec0ff1ff106e04fe.jp2/full/!400,400/0/default.jpg"
79,incense burners (Earthenware covered with pale green lead glaze.),China,"Earthenware incense burner in the form of bronze tripod Ding without handle, covered with pale green lead glaze.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18355,"https://iiif.durham.ac.uk/iiif/trifle/81/ea/72/81ea72eb1119825f6462ea6827f53a89/5784f898595f1c378dfdd8a51685962d.jp2/full/!400,400/0/default.jpg"
80,mirrors (Cast bronze with decorations in low-relief),China,"Bronze mirror with decorations in low-relief; centre, a knob surrounded by a band of dots and a wide ring; main decorative segment, alternating scroll patterns, possibly a simplified version of Chi dragon design, enclosed by double rings.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18237,"https://iiif.durham.ac.uk/iiif/trifle/ed/61/05/ed610563de66c89181f1ff6da6f2de03/e51b9873b1fe954075941fb30604e0a8.jp2/full/!400,400/0/default.jpg"
81,"Belt Hook (Cast bronze, partly covered with red patina.)",China,Partly covered with red patina.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18458,"https://iiif.durham.ac.uk/iiif/trifle/fc/61/88/fc6188fbb42535f8e2e008c81dec956c/c794b458dfdcdbfbeb2eb6a731fca6b8.jp2/full/!400,400/0/default.jpg"
82,figures; Tomb Figure (Pottery with traces of white pigment),China,"Horse's head with prominently modelled eyes and nostrils, the bridle harness indicated on head with white painted lines. Two holes in top of head probably once held ornamental plumes of circular wooden sticks.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS19097,"https://iiif.durham.ac.uk/iiif/trifle/e4/1e/b7/e41eb7e5bcd1c9c777906a94a5af3d4b/5afa85daf30307e3fa3ff10bb1d4f49d.jp2/full/!400,400/0/default.jpg"
83,Mouth Jade; figures (Pale green nephrite carving with red pigment),China,"Pale green nephrite mouth jade in the shape of a cicada. Typical Han dynasty simplistic style (see [Notes]) in which the outline of the cicada is presented in simple lines, while body parts such as eyes, mouth and wings are presented in straight lines., There are three 'V' shape lines above the wings. Reverse, there is a 3-character mark hand written in red pigment, meaning the number '66'.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS13378,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.4210.JPG
84,Belt Hook (Cast bronze with open work decoration),China,"Bronze belt hook in the shape of a bird, with the head of the bird turning back as the hook; the bird is probably a swan juding by the crest and the elegant curve of the neck.",Han dynasty; Feudal Society,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18459,"https://iiif.durham.ac.uk/iiif/trifle/1b/fa/25/1bfa255aef21077c4744707256d2e9fc/67ce32489c73a185e1581936e843a3eb.jp2/full/!400,400/0/default.jpg"
85,"Disc (Bluish green jade with buff shadow, incised and carved.)",China,"Jade disc in the shape of Bi, decorated with incised Cloud pattern/Wocan pattern (Sleeping Silk Worm pattern) on a carved Straw pattern backgournd.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18480,"https://iiif.durham.ac.uk/iiif/trifle/41/c2/5c/41c25cf8894780a95331d15e2f50818e/d4f7b47e80c29b8a570964d5c19347f5.jp2/full/!400,400/0/default.jpg"
86,Pendant; ornaments (Pale green hardstone carving with buff brown calcification),China,"Pale green hardstone pendant with buff brown calcification, flat, oblong with rounded base, decorated with carved paired Chi dragon on the two sides, while front and back engraved with simplified Kui dragon or Sleeping Silk Worm pattern. There is a perforation near the head. The shape of the pendant ressembles the shape of a sword chape.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS22120,https://palimpsest.dur.ac.uk/adlib/?action=image&image=oriental%2F1960%2F1960.4060.JPG
